name;bestcore;mameversion
"horekid";lr-fbalpha;
"horizon";lr-fbalpha;
"horshoes";lr-fbalpha;
"hotchase";lr-mame;
"hotdebut";lr-fbalpha;
"hotdogst";lr-fbalpha;
"hotgm4ev";lr-fbalpha;
"hotgmck";lr-fbalpha;
"hotgmck3";lr-fbalpha;
"hotgmcki";lr-fbalpha;
"hotmind";lr-fbalpha;
"hotpinbl";lr-fbalpha;
"hotrod";adv-mame;
"hotshock";lr-fbalpha;
"hsf2";lr-fbalpha;
"hstennis";lr-mame;
"htchctch";lr-fbalpha;
"hunchbak";lr-fbalpha;
"huncholy";lr-fbalpha;
"hustler";lr-fbalpha;
"hvoltage";lr-mame;
"hvymetal";lr-fbalpha;
"hvyunitu";lr-fbalpha;
"hwchamp";lr-fbalpha;
"hwrace";lr-mame;
"hydra";lr-mame;
"hyperpac";lr-fbalpha;
"hyperspt";lr-fbalpha;
"hypreac2";lr-fbalpha;
"hypreact";lr-fbalpha;
"iceclimb";lr-mame;
"iceclmrj";lr-mame;
"ichidant";lr-mame;
"idsoccer";lr-mame;
"igmo";lr-fbalpha;
"ikari";lr-fbalpha;
"ikari3";lr-fbalpha;
"ikki";lr-fbalpha;
"imago";lr-fbalpha;
"imgfight";lr-fbalpha;
"imsorry";lr-fbalpha;
"indytemp";lr-mame;
"inferno";lr-mame;
"insector";lr-mame;
"insectx";lr-fbalpha;
"intcup94";lr-fbalpha;
"inthuntu";lr-mame;2003
"inthunt";lr-mame;2003
"intrepid";lr-mame;
"invaders";lr-mame;
"invrvnge";lr-mame;
"ipminvad";lr-mame;
"iqblock";lr-mame;
"irobot";lr-mame;
"ironhors";lr-fbalpha;
"itaten";lr-fbalpha;
"ixion";lr-fbalpha;
"jack";lr-fbalpha;
"jackal";lr-fbalpha;
"jackrabt";lr-mame;
"jailbrek";lr-fbalpha;
"jajamaru";lr-mame;
"janjans1";lr-fbalpha;
"janjans2";lr-fbalpha;
"jchan";lr-fbalpha;
"jchan2";lr-fbalpha;
"jcross";lr-fbalpha;
"jdreddp";lr-mame;
"jedi";lr-mame;
"jitsupro";lr-fbalpha;
"jjack";lr-fbalpha;
"jjparad2";lr-fbalpha;
"jjparads";lr-fbalpha;
"jjsquawk";lr-fbalpha;
"joemacr";lr-fbalpha;
"joinem";lr-fbalpha;
"jojo";lr-fbalpha;
"jojobane";lr-fbalpha;
"journey";lr-mame;
"joust";lr-mame;
"joust2";lr-mame;
"joyfulr";lr-fbalpha;
"jpopnics";lr-fbalpha;
"jrpacman";lr-fbalpha;
"jumpbug";lr-fbalpha;
"jumpcoas";lr-fbalpha;
"jumpkids";lr-fbalpha;
"jumppop";lr-fbalpha;
"jumpshot";lr-fbalpha;
"junglek";lr-mame;
"jungler";lr-fbalpha;
"junofrst";lr-fbalpha;
"jyangoku";lr-fbalpha;
"kageki";lr-fbalpha;
"kaiserkn";lr-fbalpha;
