name;bios;description;is_parent;manufacturer;sample;year
rdft2;-;Raiden Fighters 2 - Operation Hell Dive (Germany);NO;Seibu Kaihatsu (Tuning license);-;1997;
reaktor;-;Reaktor (Track & Field conversion);NO;Zilec;-;1987;
redearth;-;Red Earth / War-Zard (Euro 961121);NO;Capcom;-;1996;
revngr84;-;Revenger '84 (set 1);NO;Epos Corporation;-;1984;
rfjet;-;Raiden Fighters Jet (Germany);NO;Seibu Kaihatsu (Tuning license);-;1998;
robowres;-;Robo Wres 2001;NO;Sanritsu / Sega;-;1986;
rockduck;-;Rock Duck (prototype?);NO;Datel SAS;-;1983;
rocktris;-;Rock Tris;NO;Yun Sung;-;1994;
rocktrv2;-;MTV Rock-N-Roll Trivia (Part 2);NO;Triumph Software Inc.;-;1986;
roughrac;-;Rough Racer (Japan, Floppy Based, FD1094 317-0058-06b);NO;Sega;-;1990;
rpatrol;-;River Patrol (Japan);NO;Orca;-;1981;
saturnzi;-;Saturn;NO;[Zilec Electronics] Jaleco;-;1983;
sb2003;-;Super Bubble 2003 (World, Ver 1.0);NO;Limenko;-;2003;
sbomber;-;Space Bomber (ver. B);NO;Psikyo;-;1998;
schmeisr;-;Schmeiser Robo (Japan);NO;Hot-B;-;1993;
scorpion;-;Scorpion (set 1);NO;Zaccaria;-;1982;
scotrsht;-;Scooter Shooter;NO;Konami;-;1985;
sderby;-;Super Derby (Playmark, v.07.03);NO;Playmark;-;1996;
searchey;-;Search Eye (English / Korean / Japanese / Italian);NO;Yun Sung;-;1999;
searchp2;-;Search Eye Plus V2.0;NO;Yun Sung;-;1999;
semibase;-;MuHanSeungBu (SemiCom Baseball) (Korea);NO;SemiCom;-;1997;
senkyu;-;Senkyu (Japan, newer);NO;Seibu Kaihatsu;-;1995;
sf;-;Street Fighter (US, set 1);NO;Capcom;-;1987;
sf2hf;-;Street Fighter II' - Hyper Fighting (street fighter 2' T 921209 World);NO;Capcom;-;1992;
sfiii;-;Street Fighter III: New Generation (Euro 970204);NO;Capcom;-;1997;
sfiii2;-;Street Fighter III 2nd Impact: Giant Attack (USA 970930);NO;Capcom;-;1997;
sfiii3;-;Street Fighter III 3rd Strike: Fight for the Future (Euro 990608);NO;Capcom;-;1999;
sfz2al;-;Street Fighter Zero 2 Alpha (960826 Asia);NO;Capcom;-;1996;
sfzch;-;Street Fighter Zero (CPS Changer, 951020 Japan);NO;Capcom;-;1995;
shinygld;-;Shiny Golds;NO;Playmark;-;1996;
shoottv;-;Must Shoot TV (prototype);NO;Incredible Technologies;-;199?;
silvmil;-;Silver Millennium;NO;Para;-;1995;
sjryuko;-;Sukeban Jansi Ryuko (set 2, System 16B, FD1089B 317-5021);NO;White Board;-;1987;
skydest;-;Sky Destroyer (Japan);NO;Taito Corporation;-;1985;
skyrobo;-;Sky Robo;NO;Nichibutsu;-;1989;
